ID;DateKey;Variable;Value
1;01.03.2019;kpi_1_brand_1;7
1;01.03.2019;kpi_1_brand_2;6
1;01.03.2019;kpi_1_brand_3;2
1;01.03.2019;kpi_1_brand_4;10
1;01.03.2019;kpi_2_brand_1;26
1;01.03.2019;kpi_2_brand_2;21
1;01.03.2019;kpi_2_brand_3;31
1;01.03.2019;kpi_2_brand_4;32
1;01.03.2019;kpi_3_brand_1;54
1;01.03.2019;kpi_3_brand_2;61
1;01.03.2019;kpi_3_brand_3;59
1;01.03.2019;kpi_3_brand_4;78
1;01.03.2019;dim_1;1
1;01.03.2019;dim_2;1
2;02.03.2019;kpi_1_brand_1;4
2;02.03.2019;kpi_1_brand_2;10
2;02.03.2019;kpi_1_brand_3;18
2;02.03.2019;kpi_1_brand_4;3
2;02.03.2019;kpi_2_brand_1;30
2;02.03.2019;kpi_2_brand_2;33
2;02.03.2019;kpi_2_brand_3;33
2;02.03.2019;kpi_2_brand_4;35
2;02.03.2019;kpi_3_brand_1;50
2;02.03.2019;kpi_3_brand_2;68
2;02.03.2019;kpi_3_brand_3;78
2;02.03.2019;kpi_3_brand_4;89
2;02.03.2019;dim_1;1
2;02.03.2019;dim_2;1
3;03.03.2019;kpi_1_brand_1;1
3;03.03.2019;kpi_1_brand_2;1
3;03.03.2019;kpi_1_brand_3;8
3;03.03.2019;kpi_1_brand_4;12
3;03.03.2019;kpi_2_brand_1;25
3;03.03.2019;kpi_2_brand_2;23
3;03.03.2019;kpi_2_brand_3;34
3;03.03.2019;kpi_2_brand_4;33
3;03.03.2019;kpi_3_brand_1;49
3;03.03.2019;kpi_3_brand_2;61
3;03.03.2019;kpi_3_brand_3;70
3;03.03.2019;kpi_3_brand_4;84
3;03.03.2019;dim_1;1
3;03.03.2019;dim_2;2
4;04.03.2019;kpi_1_brand_1;6
4;04.03.2019;kpi_1_brand_2;3
4;04.03.2019;kpi_1_brand_3;4
4;04.03.2019;kpi_1_brand_4;3
4;04.03.2019;kpi_2_brand_1;26
4;04.03.2019;kpi_2_brand_2;22
4;04.03.2019;kpi_2_brand_3;25
4;04.03.2019;kpi_2_brand_4;29
4;04.03.2019;kpi_3_brand_1;46
4;04.03.2019;kpi_3_brand_2;60
4;04.03.2019;kpi_3_brand_3;79
4;04.03.2019;kpi_3_brand_4;78
4;04.03.2019;dim_1;2
4;04.03.2019;dim_2;2
5;05.03.2019;kpi_1_brand_1;5
5;05.03.2019;kpi_1_brand_2;14
5;05.03.2019;kpi_1_brand_3;15
5;05.03.2019;kpi_1_brand_4;3
5;05.03.2019;kpi_2_brand_1;24
5;05.03.2019;kpi_2_brand_2;32
5;05.03.2019;kpi_2_brand_3;26
5;05.03.2019;kpi_2_brand_4;35
